`,id,timestamp,derived_0,derived_1,derived_2,derived_3,derived_4,fundamental_0,fundamental_1,fundamental_2,fundamental_3,fundamental_5,fundamental_6,fundamental_7,fundamental_8,fundamental_9,fundamental_10,fundamental_11,fundamental_12,fundamental_13,fundamental_14,fundamental_15,fundamental_16,fundamental_17,fundamental_18,fundamental_19,fundamental_20,fundamental_21,fundamental_22,fundamental_23,fundamental_24,fundamental_25,fundamental_26,fundamental_27,fundamental_28,fundamental_29,fundamental_30,fundamental_31,fundamental_32,fundamental_33,fundamental_34,fundamental_35,fundamental_36,fundamental_37,fundamental_38,fundamental_39,fundamental_40,fundamental_41,fundamental_42,fundamental_43,fundamental_44,fundamental_45,fundamental_46,fundamental_47,fundamental_48,fundamental_49,fundamental_50,fundamental_51,fundamental_52,fundamental_53,fundamental_54,fundamental_55,fundamental_56,fundamental_57,fundamental_58,fundamental_59,fundamental_60,fundamental_61,fundamental_62,fundamental_63,technical_0,technical_1,technical_2,technical_3,technical_5,technical_6,technical_7,technical_9,technical_10,technical_11,technical_12,technical_13,technical_14,technical_16,technical_17,technical_18,technical_19,technical_20,technical_21,technical_22,technical_24,technical_25,technical_27,technical_28,technical_29,technical_30,technical_31,technical_32,technical_33,technical_34,technical_35,technical_36,technical_37,technical_38,technical_39,technical_40,technical_41,technical_42,technical_43,technical_44,y
id,1,0.003723113,0.026267281,0.00648117,0.003113217,0.005971169,0.028646486,0.034316729,0.010725485,0.016523335,0.069998899,0.007987652,0.011878093,0.010475471,0.003942367,0.00579129,0.005150824,0.010416416,0.006449762,0.001114169,0.002992279,0.005300812,0.005930037,0.011106406,0.013058141,0.010710168,0.00840276,0.012002167,0.010779788,0.028041055,0.017493404,0.001783864,0.008793462,0.004245163,0.009505017,0.001416693,0.021021464,0.001682124,0.006687015,0.011482734,0.001148412,0.021899429,0.010486388,0.020841496,0.051046954,0.039981248,0.019074438,0.001186509,0.00047411,0.003260915,0.001682897,0.008144412,0.000649847,0.016790288,0.002043192,0.035005198,0.026512713,0.004275624,0.00510659,0.003017705,0.00728607,0.012100084,0.012681502,0.014465467,0.012272066,0.026652959,0.002060404,0.010708125,0.003955937,0.016854636,0.016392317,0.008368172,0.003208595,0.001938416,0.00689988,0.006321615,0.003033545,0.019707722,0.011738494,0.002320174,0.003286701,0.003230319,0.017147146,0.001466706,0.00708406,0.019437731,0.00188982,0.008885184,0.006163741,0.008195975,0.002025482,0.005349231,0.01455262,0.005568013,0.028906551,0.000367474,0.001253193,0.022808582,0.006590416,0.009525363,0.023138753,0.02712116,0.01876109,0.0097079,0.007420558,0.007661749,0.002168723,0.010320443,0.027096605,0.002948196,0.000909247
timestamp,0.003723113,1,0.021063523,0.006742757,0.004868784,0.00450975,0.022599412,0.057031461,0.006340113,0.030643158,0.045453237,0.01238933,0.046604494,0.016934951,0.074259572,0.008665068,0.031231968,0.039730818,0.020481105,0.00535533,0.000587611,0.030012732,0.007450263,0.014200323,0.035987571,0.003006209,0.016207782,0.151021898,0.001683904,0.022023148,0.018247134,0.030397727,0.015248678,0.000874382,0.046662431,0.006843838,0.002468449,0.005994283,0.022851468,0.014265436,0.004180254,0.001739473,0.016872619,0.028658945,0.155045743,0.013582871,0.037925981,0.006296877,0.008488339,0.042954539,0.003255448,0.015640833,0.006124091,0.051812793,0.011396566,0.023751924,0.021340325,0.013861419,0.033561813,0.013275717,0.054862887,0.040530576,0.030906784,0.063018674,0.007784908,0.015937135,0.037186212,0.006321758,0.021089565,0.004530499,0.009553956,0.005326366,0.007048351,0.005005094,0.000754868,0.013636933,0.125892281,0.013573982,0.145760122,0.005832975,0.009043079,0.003865823,0.081466643,0.03769876,0.000731039,0.035636423,9.82789E-05,0.026340632,0.004171265,0.002523236,0.001061745,0.000354474,0.01158336,0.001086558,0.174009967,0.015486869,0.00645896,0.003100752,0.003323327,0.007728382,0.135583548,0.053343158,0.025997724,0.032364511,0.029276113,0.063003685,0.004855596,0.047898272,0.037562213,0.005213618,0.00105814
derived_0,0.026267281,0.021063523,1,0.000162984,0.000213724,7.54745E-05,0.962171642,0.013533687,0.000293145,0.01025934,0.00266443,7.58951E-05,0.000274483,0.000126851,0.002773301,0.030520054,3.81344E-05,0.018678456,0.000274151,0.000670434,0.000812892,0.002576319,0.001257612,0.000161922,0.005686975,0.00027811,7.11418E-05,0.013036601,0.002889384,0.000202912,0.014093678,0.002449232,0.000639087,0.000520864,0.000622662,2.4244E-05,0.013431319,0.000230903,0.000726952,0.000147979,0.000960858,0.002050406,0.000130094,0.004073191,0.008168144,0.001237856,0.00923667,3.42836E-05,6.28179E-05,0.004590062,2.02539E-05,6.62689E-05,1.8153E-05,0.021108126,0.002391419,0.000957101,0.0002673,0.000402659,0.001242727,0.001869055,0.011750461,0.012508336,0.005607576,0.006324896,0.009960533,0.013433746,0.019116548,0.000293302,0.003517578,0.005167757,0.000748705,0.002255105,0.000598575,0.004141831,0.019979578,0.000456704,0.022980284,0.002371298,0.009300026,0.002542458,0.007841045,0.00264305,0.011232359,0.003087735,0.006904742,0.003624679,0.002150033,0.012344616,0.004302543,0.024159072,7.90909E-05,0.000875634,0.004679188,0.012108381,0.018466965,0.009293045,0.009835155,0.000879149,0.001189824,0.014671585,0.002620904,0.000358844,0.001797687,0.003263291,0.002186822,0.006515597,0.006054486,0.001962772,0.001678781,0.012141388,0.000259115
derived_1,0.00648117,0.006742757,0.000162984,1,6.1536E-05,3.30156E-05,0.000199048,0.009425394,5.82842E-05,3.92733E-05,0.004987878,0.000425076,0.000899559,0.000106087,0.002109886,0.001500724,0.000251361,0.000206675,0.000249669,0.001720242,0.000104171,0.000498561,0.000419676,9.20972E-05,0.000131557,0.00031461,5.52464E-05,0.000217463,0.000745005,0.000249563,0.002594472,0.001340985,6.4439E-05,0.000317017,0.007833789,0.000130398,0.007726252,0.007582431,0.000256919,0.000116056,0.000267229,0.001155024,0.000108923,0.001241418,0.005027908,0.00033101,0.0012683,6.44007E-06,2.13103E-06,0.000251328,0.000124478,5.99381E-05,0.007634905,0.003739489,0.000380262,0.000410293,0.000269611,0.000102176,0.000641391,0.000156959,0.008296083,0.001029554,0.000655694,0.000421391,0.004829619,0.006466537,0.004078081,5.79235E-05,0.0036548,0.008100837,0.00418629,0.006622205,0.006343151,0.005612049,0.003480476,0.00891941,0.00891881,0.00339084,0.003447602,0.00515463,0.001638426,0.000899698,0.006617003,0.005584536,0.00538224,0.002161232,0.005953566,0.002951587,0.001943143,0.004629628,0.002373628,0.000625499,0.001292745,0.007818563,0.00089388,0.002396762,0.001313969,0.00715444,0.0012188,0.005733853,0.006412026,0.007008582,0.003780162,0.000685212,0.000229564,0.002314809,0.002430021,0.002592391,0.005919105,0.011871205,0.000448227
derived_2,0.003113217,0.004868784,0.000213724,6.1536E-05,1,2.92284E-05,0.000142555,0.001155148,0.000192329,0.000451174,0.005386398,0.00026232,0.000915118,0.001324451,0.000539901,0.012243264,0.000679848,0.000437884,0.000293194,7.20684E-05,2.11466E-05,0.000927082,0.000131485,7.52928E-05,0.000124239,0.001553924,7.99832E-05,0.00048337,0.000907862,3.41509E-05,3.95127E-05,0.00043417,0.001577197,0.001003901,0.006148166,1.37029E-05,0.000322582,1.28609E-05,0.000306572,0.000151905,0.000733879,0.000646296,0.000149419,0.001412841,0.002614447,0.00036169,0.01441483,2.34251E-05,0.00010691,0.000288296,3.65894E-05,0.000100935,0.000299142,0.003650989,0.000608606,6.50995E-05,7.14292E-05,3.44281E-06,0.001898808,0.000176905,0.001516196,0.000247412,0.000293453,0.001739051,0.014604644,0.000693963,0.000188612,0.000299144,0.00052003,0.015199476,0.005597731,0.000940539,0.00133908,0.00079849,0.012904482,0.004323072,0.012399458,0.009586284,0.007559335,0.00180758,0.004423976,0.000583796,0.00309542,0.000793782,0.004997593,0.001202846,0.00360124,0.004818547,0.000493183,0.002631146,0.017071201,0.004787232,0.009783476,0.006098991,0.004022026,0.001485424,0.00112191,0.001553205,0.000123098,0.000934958,0.037171836,0.026161478,0.005348253,0.00289767,0.002726218,0.00734168,0.002343418,9.39242E-05,0.001996028,0.007735573,0.001369258
derived_3,0.005971169,0.00450975,7.54745E-05,3.30156E-05,2.92284E-05,1,0.000121913,0.010019488,2.82106E-05,3.23928E-05,0.005820508,0.000497921,7.20815E-05,0.00016721,0.001193876,0.001366335,0.001494257,0.000151447,0.000201089,0.005882935,3.06675E-06,9.2482E-06,3.53674E-05,0.000173708,3.42395E-05,0.000336193,0.00014083,0.007028673,0.000116762,5.47798E-05,0.004852125,0.002704309,0.00056533,3.56529E-05,0.002522233,3.1867E-05,0.003659401,0.002722847,0.000212438,0.000186,0.00016366,0.000681385,0.000166745,0.000578906,0.005866012,0.000240417,0.003696872,2.22302E-06,6.49129E-07,0.002066352,0.000170048,0.000138317,0.002840796,0.004892415,0.000166831,0.000581174,2.75177E-05,5.69559E-05,0.000337303,0.000192745,0.004930223,6.4649E-05,2.2688E-05,0.000407821,0.00243651,0.000387095,0.000610466,2.82955E-05,0.005871678,0.002813391,0.000596622,0.004737451,0.005071488,0.001719766,0.003524373,0.00226055,0.006815471,0.000533857,0.002105373,0.005006305,0.002725832,0.001462732,0.004986761,0.000370806,0.003751097,0.001122737,0.000285922,0.000372742,0.000446508,0.00497783,0.000505602,0.0014038,0.004690719,0.002779454,0.00560088,0.00252456,0.000560045,0.00106024,0.006601126,0.005068791,0.003795491,0.003083363,0.000657639,0.001802264,0.001427427,0.01091149,0.000771431,0.000457879,0.004464281,0.002504373,0.000521987
derived_4,0.028646486,0.022599412,0.962171642,0.000199048,0.000142555,0.000121913,1,0.016729513,0.002314468,0.008721201,0.00615563,0.000705516,0.042479156,0.000918067,0.000555335,0.000201627,0.00020699,0.017156989,0.000600841,0.000763532,0.000240343,0.002667774,0.000555554,0.000199861,0.007943025,0.001755584,0.002995996,0.006452825,0.002398418,0.000384067,0.003922046,0.003038951,0.067979612,0.00065149,0.00295316,5.97861E-05,0.01333256,0.000302287,0.000624171,2.34287E-05,0.000794847,0.002255733,0.005266121,0.004806702,0.073599342,0.001192548,0.009519471,4.19912E-05,3.46043E-05,0.004288092,0.000168949,0.002819684,2.50518E-05,0.017885977,0.010686581,0.000989285,0.000344557,0.000198351,0.001443273,0.009073901,0.003044323,0.01070322,0.004603879,0.062301023,0.01399557,0.008367899,0.016809237,0.037442681,0.004101412,0.006012192,0.000150969,0.00350664,0.000528879,0.006085904,0.022342237,0.000572667,0.018917352,0.00451078,0.005100687,0.000928211,0.006398325,0.002168775,0.007515018,0.003666123,0.004073163,0.003989007,0.004193977,0.013215523,0.002983788,0.022393531,0.000269172,0.000575395,0.009676127,0.013051954,0.015803272,0.00590388,0.011511799,0.002052652,0.00117906,0.018622211,0.004341201,0.005696331,0.002038391,0.00519674,0.003325746,0.001494033,0.00694137,0.00255833,6.9077E-05,0.014106074,0.000759386
fundamental_0,0.034316729,0.057031461,0.013533687,0.009425394,0.001155148,0.010019488,0.016729513,1,0.002358549,0.002393868,0.101112132,0.003892968,0.054244694,0.084250209,0.009263319,0.001146907,0.016470738,0.019018791,0.038071225,0.0078423,0.014007578,0.021752035,0.009001556,0.01957885,0.008089821,0.012899975,0.066334294,0.215503386,0.020252498,0.035817501,0.022477217,0.0082795,0.077051204,0.00555329,0.054675049,0.00811154,0.027389728,0.005880348,0.037597915,0.002134501,0.013634417,0.020223562,0.083763732,0.014586756,0.120055922,0.020027719,0.183493945,0.004379606,0.007144256,0.063921053,0.000719649,0.063652159,0.000935253,0.107303032,0.002075597,0.024480276,0.035023059,0.011155315,0.029857582,0.015002338,0.155113715,0.008073637,0.002161562,0.018774155,0.184015734,0.190252933,0.041453799,0.002356289,0.003089645,0.030051169,0.043321703,0.009482485,0.050428293,0.000419616,0.018145521,0.061678782,0.243162301,0.042719899,0.096338925,0.06238793,0.050285931,0.036655962,0.091810337,0.028169482,0.06526328,0.0527791,0.05857005,0.032603342,0.058786151,0.185416754,0.00105332,0.006330906,0.096477734,0.020256607,0.102854033,0.049407931,0.002751934,0.020931107,0.004479636,0.410148383,0.104865233,0.080733533,0.048733343,0.038523464,0.052301008,0.2071712,0.001656831,0.057683536,0.055756453,0.023481957,0.001133873
fundamental_1,0.010725485,0.006340113,0.000293145,5.82842E-05,0.000192329,2.82106E-05,0.002314468,0.002358549,1,0.015614131,0.034517276,0.018416626,0.000924186,9.82268E-05,0.005692647,0.005565853,0.000155294,0.010706872,0.000270183,0.002622854,0.001137182,0.013291511,0.003502063,2.52628E-05,0.000127574,0.000213375,5.93377E-05,0.006132077,0.018271783,0.001724081,0.01614794,0.001063954,6.50879E-05,0.000233775,0.055793442,0.005359604,0.003466272,0.045120769,0.000281294,0.000108662,0.000733396,0.185190712,9.86857E-05,0.002862901,0.10604809,0.002433856,0.005262532,3.84954E-05,5.36277E-05,0.004880627,0.006187836,5.78928E-05,0.000454578,0.059008977,3.29131E-05,0.004377196,0.001568678,0.001610776,0.000682358,0.000331158,0.013463262,0.007408502,0.017671884,0.000751479,0.008753553,0.004485302,0.005849548,1,0.001269822,0.017694937,0.003151512,0.006968173,0.002402652,0.006456842,0.001066636,0.006697059,0.006076386,0.001391001,0.010219552,0.00688622,0.002717304,0.000535743,0.001121796,7.49357E-05,0.008422496,0.001642306,0.00411032,0.000101934,0.003303621,0.002965359,0.003145681,0.011498282,0.009674948,0.012057009,0.009024889,0.002102517,0.009730279,0.00724175,0.006402689,0.009533642,0.002945582,0.005872178,0.002852177,0.007185637,0.002548958,0.003041873,0.001305488,0.000750482,0.007337786,0.0021206,0.000152297
fundamental_2,0.016523335,0.030643158,0.01025934,3.92733E-05,0.000451174,3.23928E-05,0.008721201,0.002393868,0.015614131,1,0.057444797,0.008693225,0.037666123,0.090195343,0.015169556,0.000860333,0.023851697,0.36851851,0.000703834,0.001124772,0.001870592,0.3372005,0.026388909,0.000351255,0.272432182,0.015675923,0.48536534,0.061494349,0.037032553,0.040327212,0.010530932,0.003884243,0.04275411,0.001025557,0.055085614,0.000396783,0.059815567,0.002225648,0.000166621,0.001172843,0.008551271,0.031045878,0.477911949,0.004605737,0.062091414,0.002348228,0.005516264,0.000653626,0.000808637,0.02962355,0.000449373,0.48501242,0.000375241,0.00809656,0.09724109,0.004182398,0.035753201,0.41255479,0.00094301,0.35932547,0.107924686,0.228441436,0.75071393,0.028693468,0.01938356,0.047993044,0.066228839,0.162330232,0.012995253,0.040175939,0.041190158,0.00197683,0.044722501,0.003817147,0.005070316,0.019607766,0.055139335,0.033615694,0.028320448,0.040810127,0.004803244,0.015517702,0.024613201,0.008491579,0.022619265,0.004965249,0.105642099,0.006693262,0.140752154,0.059185401,0.006434157,0.021265582,0.083057443,0.004704803,0.025263094,0.049543962,0.005061045,0.011804416,0.000936393,0.014692633,0.019452412,0.008890493,0.010227858,0.009330404,0.01412007,0.050348349,0.007400407,0.01023635,0.015838263,0.015636013,0.002645846
